;TRADEDATE;SECID;OPEN;LOW;HIGH;CLOSE;VOLRUR;is_actual;last_CLOSE;short;long;diff;Stance;OBV;STHST_k;STHST_d;BBU;BBM;BBL;diff_st;Stance_st;Recommendation
44;2020-08-06;EURUSD000TOM;1.1878600000000001;1.1819;1.1891;1.1876;4429876471.13;1 day lag;;1.185110808365263;1.1778186270422335;0.007292181323029556;1;55801610799.56999;93.42213818259866;85.81259171963188;1.1990423118710574;1.1612059999999995;1.1233696881289417;7.609546462966776;1;Покупать (Long)
45;2020-08-07;EURUSD000TOM;1.1834;1.17554;1.18482;1.17864;3646339136.37;1 day lag;;1.1818754041826316;1.1779829016337868;0.0038925025488447673;1;52155271663.19999;84.9093444909345;88.27438299288382;1.1993332603644027;1.1636369999999996;1.1279407396355965;-3.3650385019493143;-1;Продавать (Short)
46;2020-08-10;EURUSD000TOM;1.177;1.17382;1.179;1.17426;3616538526.89;1 day lag;;1.1780677020913157;1.1772383213070294;0.0008293807842862932;0;48538733136.30999;67.34052075372931;81.89066780908752;1.198940317039499;1.1656319999999996;1.1323236829605001;-14.55014705535821;-1;Продавать (Short)
47;2020-08-11;EURUSD000TOM;1.1736;1.17289;1.18034;1.17331;3611136657.17;1 day lag;;1.175688851045658;1.1764526570456235;-0.0007638059999655056;0;44927596479.13999;56.06936219075158;69.43974247847183;1.1985074997394798;1.1673269999999996;1.1361465002605193;-13.370380287720245;-1;Продавать (Short)
48;2020-08-12;EURUSD000TOM;1.17264;1.1726;1.18131;1.18;3416594392.54;1 day lag;;1.1778444255228289;1.1771621256364988;0.0006822998863300622;0;48344190871.67999;60.288542134891756;61.23280835979091;1.1984691595777635;1.1692669999999994;1.1400648404222353;-0.9442662248991525;0;Ожидать (Hold)
49;2020-08-13;EURUSD000TOM;1.1825;1.1795;1.1862;1.18115;3529577605.26;1 day lag;;1.1794972127614143;1.177959700509199;0.0015375122522152118;0;51873768476.939995;62.97116369673927;59.77635600746089;1.1973226897470735;1.1714064999999994;1.1454903102529252;3.1948076892783774;1;Покупать (Long)
50;2020-08-14;EURUSD000TOM;1.18086;1.17856;1.18484;1.1840000000000002;3171739277.96;1 day lag;;1.1817486063807072;1.1791677604073594;0.002580845973347845;0;55045507754.899994;63.50045167118386;62.253385834271654;1.1965418966669479;1.1734164999999996;1.1502911033330514;1.2470658369122063;1;Покупать (Long)
51;2020-08-17;EURUSD000TOM;1.18644;1.18296;1.18803;1.1875;1570821534.07;1 day lag;;1.1846243031903536;1.1808342083258876;0.0037900948644660204;1;56616329288.96999;77.31707317073253;67.92956284621857;1.1952933342028331;1.1755644999999997;1.1558356657971662;9.387510324513954;1;Покупать (Long)
52;2020-08-18;EURUSD000TOM;1.18848;1.18848;1.19638;1.1935200000000001;4376493933.7;1 day lag;;1.1890721515951768;1.1833713666607102;0.005700784934466574;1;60992823222.66999;87.52652715348954;76.11468399846866;1.1957720712544324;1.1776204999999995;1.1594689287455666;11.411843155020875;1;Покупать (Long)
53;2020-08-19;EURUSD000TOM;1.19328;1.18326;1.195;1.1838;4572932803.47;1 day lag;;1.1864360757975883;1.1834570933285682;0.002978982469020064;0;56419890419.19999;70.8459214501513;78.56317392479114;1.194600328334035;1.1789624999999995;1.163324671665964;-7.717252474639849;-1;Продавать (Short)
54;2020-08-20;EURUSD000TOM;1.1840000000000002;1.1805;1.18652;1.1861;3437342315.21;1 day lag;;1.186268037898794;1.1839856746628545;0.002282363235939444;0;59857232734.40999;56.83534743202405;71.73593201188832;1.1933029604372931;1.1803109999999994;1.1673190395627058;-14.900584579864272;-1;Продавать (Short)
55;2020-08-21;EURUSD000TOM;1.18674;1.17547;1.1873;1.1794200000000001;4142219107.31;1 day lag;;1.182844018949397;1.1830725397302837;-0.00022852078088675398;0;55715013627.09999;45.31458143778523;57.66528343998689;1.1920337784214532;1.1810219999999996;1.170010221578546;-12.350702002201658;-1;Продавать (Short)
